Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Ascendant Series in Development at Starz,8/3/2017,FALSE,7:09 AM,,,Variety
Vin Diesel Producing New Miami Vice Series,8/2/2017,FALSE,1:10 PM,,,Variety
Christopher Robin Adds Hayley Atwell,8/2/2017,FALSE,1:09 PM,,,Variety
The Middle‘s Ninth Season Will Be Its Last,8/2/2017,FALSE,9:20 AM,,,Variety
Jessica Chastain Confirms Villainous Role in X-Men: Dark Phoenix,8/2/2017,FALSE,4:48 AM,,,ScreenRant
Star Wars: Episode IX Is Getting a Script Polish,8/1/2017,FALSE,4:44 PM,,,Hollywood Reporter
Ian McShane Joins Hellboy,8/1/2017,FALSE,4:43 PM,,,Hollywood Reporter
Emma Roberts Coming Back for More American Horror Story,8/1/2017,FALSE,4:41 PM,,,Variety
John Cena Joins Bumblebee,7/31/2017,FALSE,11:32 AM,,,Hollywood Reporter
Jaume Collet-Serra Takes Disney’s Jungle Cruise,7/31/2017,FALSE,10:30 AM,,,Hollywood Reporter
Sam Shepard: 1943-2017,7/31/2017,FALSE,10:29 AM,,,New York Times
Jeanne Moreau: 1928-2017,7/31/2017,FALSE,10:28 AM,,,Guardian
June Foray: 1917-2017,7/27/2017,FALSE,4:01 AM,,,Variety
Wonder Woman Sequel Set for December 2019,7/26/2017,FALSE,4:12 AM,,,Variety
James Cameron Planning Terminator ‘Reinvention’ Trilogy,7/25/2017,FALSE,3:59 PM,,,We Got This Covered
Melissa McCarthy Has Super-Intelligence,7/25/2017,FALSE,2:22 PM,,,Variety
National Geographic Developing The Right Stuff Scripted Series,7/25/2017,FALSE,2:21 PM,,,Variety
Daniel Craig Set to Return as James Bond,7/25/2017,FALSE,3:16 AM,,,New York Times
Anne Hathaway in Talks to Step in for Amy Schumer on Barbie,7/25/2017,FALSE,3:15 AM,,,Variety
25th James Bond Movie Set for November 2019,7/24/2017,FALSE,3:03 PM,,,Variety
M. Night Shyamalan’s Glass Adds Sarah Paulson,7/24/2017,FALSE,3:02 PM,,,Hollywood Reporter
Ben Affleck’s Batman Future Rumored to Be in Doubt,7/21/2017,FALSE,10:40 PM,,,Hollywood Reporter
Netflix Renews Iron Fist,7/21/2017,FALSE,10:40 PM,,,Variety
New Spawn Movie in the Works,7/21/2017,FALSE,10:39 PM,,,Variety
Sylvester Stallone Reveals a Major Return for Creed 2,7/21/2017,FALSE,10:38 PM,,,ScreenRant
Doctor Doom Movie in the Works,7/21/2017,FALSE,10:06 AM,,,Hollywood Reporter
The Purge 4 Has a Director,7/20/2017,FALSE,2:52 PM,,,Hollywood Reporter
Mads Mikkelsen in Talks for Chaos Walking,7/20/2017,FALSE,11:41 AM,,,Hollywood Reporter
Shazam! Is Reportedly the Next DCEU Movie to Shoot,7/20/2017,FALSE,10:17 AM,,,Hollywood Reporter
New Invasion of the Body Snatchers in the Works,7/19/2017,FALSE,8:41 PM,,,Hollywood Reporter
American Horror Story Adds Lena Dunham,7/19/2017,FALSE,8:40 PM,,,New York Magazine/Vulture
Mega Man Movie Finds Its Directors,7/19/2017,FALSE,8:39 PM,,,Hollywood Reporter
Forest Whitaker Joining Empire,7/19/2017,FALSE,8:39 PM,,,Variety
Jon Watts in Talks for Spider-Man: Homecoming Sequel,7/19/2017,FALSE,10:09 AM,,,Variety
Felicity Jones Is Ruth Bader Ginsburg,7/18/2017,FALSE,5:19 PM,,,Variety
